name.keyword: Descending,msg.keyword: Descending,timestamp: Descending,Count
prism-ba05,vs_update3notification,1.50423E+12,1
prism-ba05,Windows Software Development Kit for Windows Store Apps DirectX x86 Remote,1.50423E+12,1
prism-ba05,Windows Software Development Kit DirectX x86 Remote,1.50423E+12,1
prism-ba05,Windows Phone SDK 8.0 Assemblies for Visual Studio 2015,1.50423E+12,1
prism-ba05,Windows Espc Resource Package,1.50423E+12,1
prism-ba05,Windows Espc Package,1.50423E+12,1
prism-ba05,WCF Data Services Tools for Microsoft Visual Studio 2015,1.50423E+12,1
prism-ba05,WCF Data Services 5.6.4 Runtime,1.50423E+12,1
prism-ba05,Visual Studio Graphics Analyzer,1.50423E+12,1
prism-ba05,Visual Studio 2015 Update 3 (KB3022398),1.50423E+12,1
prism-ba05,Visual Studio 2012 Verification SDK,1.50423E+12,1
prism-ba05,Visual C++ MSBuild X86 Package,1.50423E+12,1
prism-ba05,Visual C++ MSBuild X64 Package,1.50423E+12,1
prism-ba05,Visual C++ MSBuild Base Resource Package,1.50423E+12,1
prism-ba05,Visual C++ MSBuild Base Package,1.50423E+12,1
prism-ba05,Visual C++ MSBuild ARM Package,1.50423E+12,1
prism-ba05,Visual C++ Library PGO X86 Package,1.50423E+12,1
prism-ba05,Visual C++ IDE Professional Core Package,1.50423E+12,1
prism-ba05,Visual C++ IDE Debugger Resource Package,1.50423E+12,1
prism-ba05,Visual C++ IDE Debugger Package,1.50423E+12,1
prism-ba05,Visual C++ IDE Core Professional Plus Resource Package,1.50423E+12,1
prism-ba05,Visual C++ IDE Core Package,1.50423E+12,1
prism-ba05,Visual C++ IDE Common Resource Package,1.50423E+12,1
prism-ba05,Visual C++ IDE Common Package,1.50423E+12,1
prism-ba05,Visual C++ IDE Base Resource Package,1.50423E+12,1
prism-ba05,Visual C++ IDE Base Package,1.50423E+12,1
prism-ba05,Visual C++ Compiler/Tools X86 Base Resource Package,1.50423E+12,1
prism-ba05,Visual C++ Compiler/Tools X86 Base Package,1.50423E+12,1
prism-ba05,VS Update core components,1.50423E+12,1
prism-ba05,Update for Microsoft Visual Studio 2015 (KB3165756),1.50423E+12,1
prism-ba05,Update for  (KB2504637),1.50423E+12,1
prism-ba05,Uninstall Finalizer,1.50423E+12,1
prism-ba05,TypeScript Tools for Microsoft Visual Studio 2015,1.50423E+12,1
prism-ba05,TypeScript Power Tool,1.50423E+12,1
prism-ba05,Test Tools for Microsoft Visual Studio 2015,1.50423E+12,1
prism-ba05,Team Explorer for Microsoft Visual Studio 2015 Update 3.1,1.50423E+12,1
prism-ba05,System Health Tool,1.50423E+12,1
prism-ba05,Roslyn Language Services - x86,1.50423E+12,1
prism-ba05,Python Launcher,1.50423E+12,1
prism-ba05,Python 3.6.1 pip Bootstrap (32-bit),1.50423E+12,1
prism-ba05,Python 3.6.1 Utility Scripts (32-bit),1.50423E+12,1
prism-ba05,Python 3.6.1 Test Suite (32-bit),1.50423E+12,1
prism-ba05,Python 3.6.1 Tcl/Tk Support (32-bit),1.50423E+12,1
prism-ba05,Python 3.6.1 Standard Library (32-bit),1.50423E+12,1
prism-ba05,Python 3.6.1 Executables (32-bit),1.50423E+12,1
prism-ba05,Python 3.6.1 Documentation (32-bit),1.50423E+12,1
prism-ba05,Python 3.6.1 Development Libraries (32-bit),1.50423E+12,1
prism-ba05,Python 3.6.1 Core Interpreter (32-bit),1.50423E+12,1
prism-ba05,Prerequisites for SSDT ,1.50423E+12,1
prism-ba05,PreEmptive Analytics Visual Studio Components,1.50423E+12,1
prism-ba05,Notepad++,1.50423E+12,1
prism-ba05,Multi-Device Hybrid Apps using C# - Templates - ENU,1.50423E+12,1
prism-ba05,Microsoft.VisualStudio.Office365,1.50423E+12,1
prism-ba05,Microsoft VisualStudio JavaScript Project System,1.50423E+12,1
prism-ba05,Microsoft VisualStudio JavaScript Language Service,1.50423E+12,1
prism-ba05,Microsoft Visual Studio Services Hub,1.50423E+12,1
prism-ba05,Microsoft Visual Studio Professional 2015 - ENU,1.50423E+12,1
prism-ba05,Microsoft Visual Studio Professional 2015,1.50423E+12,1
prism-ba05,Microsoft Visual Studio Premium 2015 - ENU,1.50423E+12,1
prism-ba05,Microsoft Visual Studio Premium 2015,1.50423E+12,1
prism-ba05,Microsoft Visual Studio Enterprise 2015 with Updates,1.50423E+12,1
prism-ba05,Microsoft Visual Studio Enterprise 2015 - ENU,1.50423E+12,1
prism-ba05,Microsoft Visual Studio Enterprise 2015,1.50423E+12,1
prism-ba05,Microsoft Visual Studio Connected Services,1.50423E+12,1
prism-ba05,Microsoft Visual Studio Community 2015 - ENU,1.50423E+12,1
prism-ba05,Microsoft Visual Studio Community 2015,1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 XAML Visual Diagnostics - ENU,1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 XAML Visual Diagnostics,1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 XAML Designer - ENU,1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 XAML Designer,1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 XAML Application Timeline - ENU,1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 XAML Application Timeline,1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 Windows Diagnostic Tools - ENU,1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 Windows Diagnostic Tools,1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 Update 3.1 Team Explorer Language Pack - ENU,1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 Update 3 Performance Debugger Web Views,1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 Update 3 IntelliTrace Front End,1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 Update 3 IntelliTrace (x86),1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 Update 3 Diagnostic Tools - x86,1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 Update 3 Diagnostic Tools - ENU,1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 Test Tools Language Pack - ENU,1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 Shell (Minimum) Resources,1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 Shell (Minimum) Interop Assemblies,1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 Shell (Minimum),1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 SDK - ENU,1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 Profiling Tools,1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 Preparation,1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 Devenv Resources,1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 Devenv,1.50423E+12,1
prism-ba05,Microsoft Visual C++ 2015 x86 Minimum Runtime - 14.0.24215,1.50423E+12,1
prism-ba05,Microsoft Visual C++ 2015 x86 Debug Runtime - 14.0.24215,1.50423E+12,1
prism-ba05,Microsoft Visual C++ 2015 x86 Additional Runtime - 14.0.24215,1.50423E+12,1
prism-ba05,Microsoft Visual C++ 2015 Redistributable (x86) - 14.0.24215,1.50423E+12,1
prism-ba05,Microsoft Visual C++ 2015 Redistributable (x64) - 14.0.24215,1.50423E+12,1
prism-ba05,Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005,1.50423E+12,1
prism-ba05,Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005,1.50423E+12,1
prism-ba05,Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005,1.50423E+12,1
prism-ba05,Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005,1.50423E+12,1
prism-ba05,Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.60610,1.50423E+12,1
prism-ba05,Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.60610,1.50423E+12,1
prism-ba05,Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.60610,1.50423E+12,1
prism-ba05,Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.60610,1.50423E+12,1
prism-ba05,Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.51106,1.50423E+12,1
prism-ba05,Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219,1.50423E+12,1
prism-ba05,Microsoft System CLR Types for SQL Server 2016,1.50423E+12,1
prism-ba05,Microsoft System CLR Types for SQL Server 2014,1.50423E+12,1
prism-ba05,Microsoft SQL Server Data Tools - enu (14.0.60519.0),1.50423E+12,1
prism-ba05,Microsoft SQL Server 2016 T-SQL Language Service ,1.50423E+12,1
prism-ba05,Microsoft SQL Server 2016 Management Objects ,1.50423E+12,1
prism-ba05,Microsoft SQL Server 2014 T-SQL Language Service ,1.50423E+12,1
prism-ba05,Microsoft SQL Server 2014 Management Objects ,1.50423E+12,1
prism-ba05,Microsoft Portable Library Multi-Targeting Pack Language Pack - enu,1.50423E+12,1
prism-ba05,Microsoft Portable Library Multi-Targeting Pack,1.50423E+12,1
prism-ba05,Microsoft NuGet - Visual Studio 2015,1.50423E+12,1
prism-ba05,Microsoft Help Viewer 2.2,1.50423E+12,1
prism-ba05,Microsoft Expression Blend SDK for .NET 4,1.50423E+12,1
prism-ba05,Microsoft Build Tools Language Resources 14.0 (x86),1.50423E+12,1
prism-ba05,Microsoft Build Tools 14.0 (x86),1.50423E+12,1
prism-ba05,Microsoft Blend for Visual Studio 2015 - ENU,1.50423E+12,1
prism-ba05,Microsoft Blend for Visual Studio 2015,1.50423E+12,1
prism-ba05,Microsoft Azure Tools for Microsoft Visual Studio 2015 Core,1.50423E+12,1
prism-ba05,Microsoft Azure Tools for Microsoft Visual Studio 2015,1.50423E+12,1
prism-ba05,Microsoft Azure Storage Tools - v6.2.0,1.50423E+12,1
prism-ba05,Microsoft Azure Storage Emulator - v5.1,1.50423E+12,1
prism-ba05,Microsoft Azure Storage Connected Service,1.50423E+12,1
prism-ba05,Microsoft Azure Shared Components for Visual Studio 2015 - v1.8,1.50423E+12,1
prism-ba05,Microsoft Azure PowerShell - June 2017,1.50423E+12,1
prism-ba05,Microsoft Azure Mobile Services Tools for Visual Studio - v1.4,1.50423E+12,1
prism-ba05,Microsoft Azure Mobile Services SDK V2.0,1.50423E+12,1
prism-ba05,Microsoft Azure Mobile Services Connected Service,1.50423E+12,1
prism-ba05,Microsoft Azure Mobile App SDK V2.0,1.50423E+12,1
prism-ba05,Microsoft Azure App Service Tools v3.0.0 - Visual Studio 2015,1.50423E+12,1
prism-ba05,Microsoft Agents for Visual Studio 2015 Preview - ENU,1.50423E+12,1
prism-ba05,Microsoft Agents for Visual Studio 2015 Preview,1.50423E+12,1
prism-ba05,Microsoft ASP.NET and Web Tools 2015.1 - Visual Studio 2015,1.50423E+12,1
prism-ba05,Microsoft ASP.NET Web Pages 2 - Visual Studio 2015 - ENU,1.50423E+12,1
prism-ba05,Microsoft ASP.NET Web Frameworks and Tools - Visual Studio 2015 - ENU,1.50423E+12,1
prism-ba05,Microsoft ASP.NET MVC 4 - Visual Studio 2015 - ENU,1.50423E+12,1
prism-ba05,Microsoft ASP.NET Core 1.0.1 Local Feed,1.50423E+12,1
prism-ba05,Microsoft .NET Framework 4.6.1 Targeting Pack (ENU),1.50423E+12,1
prism-ba05,Microsoft .NET Framework 4.6.1 Targeting Pack,1.50423E+12,1
prism-ba05,Microsoft .NET Framework 4.6.1 SDK,1.50423E+12,1
prism-ba05,Microsoft .NET Framework 4.6.1 Developer Pack,1.50423E+12,1
prism-ba05,Microsoft .NET Framework 4.6 Targeting Pack (ENU),1.50423E+12,1
prism-ba05,Microsoft .NET Framework 4.6 Targeting Pack,1.50423E+12,1
prism-ba05,Microsoft .NET Framework 4.6 SDK,1.50423E+12,1
prism-ba05,Microsoft .NET Framework 4.5.2 Multi-Targeting Pack (ENU),1.50423E+12,1
prism-ba05,Microsoft .NET Framework 4.5.2 Multi-Targeting Pack,1.50423E+12,1
prism-ba05,Microsoft .NET Framework 4.5.1 SDK,1.50423E+12,1
prism-ba05,Microsoft .NET Framework 4.5.1 RC Multi-Targeting Pack for Windows Store Apps (ENU),1.50423E+12,1
prism-ba05,Microsoft .NET Framework 4.5.1 RC Multi-Targeting Pack for Windows Store Apps,1.50423E+12,1
prism-ba05,Microsoft .NET Framework 4.5.1 Multi-Targeting Pack (ENU),1.50423E+12,1
prism-ba05,Microsoft .NET Framework 4.5.1 Multi-Targeting Pack,1.50423E+12,1
prism-ba05,Microsoft .NET Framework 4.5 Multi-Targeting Pack,1.50423E+12,1
prism-ba05,Microsoft .NET Framework 4 Multi-Targeting Pack,1.50423E+12,1
prism-ba05,Microsoft .NET Core Tools 2015 - Visual Studio 2015,1.50423E+12,1
prism-ba05,Microsoft .NET Core 5.0 SDK,1.50423E+12,1
prism-ba05,Microsoft .NET Core 1.1.0 - Runtime (x64),1.50423E+12,1
prism-ba05,Microsoft .NET Core 1.0.1 - VS 2015 Tooling Preview 2,1.50423E+12,1
prism-ba05,Microsoft .NET Core 1.0.1 - SDK 1.0.0 Preview 2-003131 (x64),1.50423E+12,1
prism-ba05,Microsoft .NET Core 1.0.0 - SDK Preview 2 (x64),1.50423E+12,1
prism-ba05,MSBuild/NuGet Integration 14.0 (x86),1.50423E+12,1
prism-ba05,Java SE Development Kit 8 Update 77,1.50423E+12,1
prism-ba05,Java Auto Updater,1.50423E+12,1
prism-ba05,Java 8 Update 144,1.50423E+12,1
prism-ba05,Install Finalizer,1.50423E+12,1
prism-ba05,IBM BigFix Client,1.50423E+12,1
prism-ba05,Fiddler,1.50423E+12,1
prism-ba05,Entity Framework 6.1.3 Tools  for Visual Studio 2015 Update 1,1.50423E+12,1
prism-ba05,Dotfuscator and Analytics Community Edition 5.22.0,1.50423E+12,1
prism-ba05,ConfigMgr 2012 Toolkit R2,1.50423E+12,1
prism-ba05,Cloud Explorer - v1.0,1.50423E+12,1
prism-ba05,Cloud Deployment Project for Microsoft Visual Studio 2015 - v3.0,1.50423E+12,1
prism-ba05,Blend for Visual Studio SDK for .NET 4.5,1.50423E+12,1
prism-ba05,AzureTools.Notifications,1.50423E+12,1
prism-ba05,Azure Resource Manager Tools (VS 2015) - v3.0,1.50423E+12,1
prism-ba05,Azure AD Authentication Connected Service,1.50423E+12,1
prism-ba05,Application Insights Tools for Visual Studio 2015,1.50423E+12,1
prism-ba05,Active Directory Authentication Library for SQL Server (x86),1.50423E+12,1
prism-ba05, Tools for .Net 3.5,1.50423E+12,1
prism-ba01,vs_update3notification,1.50423E+12,1
prism-ba01,Xamarin,1.50423E+12,1
prism-ba01,Windows XP Targeting with C++,1.50423E+12,1
prism-ba01,Windows Team Extension SDK Contracts,1.50423E+12,1
prism-ba01,Windows Team Extension SDK,1.50423E+12,1
prism-ba01,Windows Software Development Kit for Windows Store Apps DirectX x86 Remote,1.50423E+12,1
prism-ba01,Windows Software Development Kit for Windows Store Apps,1.50423E+12,1
prism-ba01,Windows Software Development Kit DirectX x86 Remote,1.50423E+12,1
prism-ba01,Windows Software Development Kit - Windows 10.0.26624,1.50423E+12,1
prism-ba01,Windows Software Development Kit - Windows 10.0.10586.212,1.50423E+12,1
prism-ba01,Windows Software Development Kit,1.50423E+12,1
prism-ba01,Windows SDK for Windows Store Apps Tools,1.50423E+12,1
prism-ba01,Windows SDK for Windows Store Apps Headers Libs,1.50423E+12,1
prism-ba01,Windows SDK for Windows Store Apps DirectX x86 Remote,1.50423E+12,1
prism-ba01,Windows SDK for Windows Store Apps Contracts,1.50423E+12,1
prism-ba01,Windows SDK for Windows Store Apps,1.50423E+12,1
prism-ba01,Windows SDK Redistributables,1.50423E+12,1
prism-ba01,Windows SDK EULA,1.50423E+12,1
prism-ba01,Windows SDK DirectX x86 Remote,1.50423E+12,1
prism-ba01,Windows SDK Desktop Tools,1.50423E+12,1
prism-ba01,Windows SDK Desktop Headers Libs Metadata,1.50423E+12,1
prism-ba01,Windows SDK AddOn,1.50423E+12,1
prism-ba01,Windows SDK,1.50423E+12,1
prism-ba01,Windows Runtime Intellisense Content - en-us,1.50423E+12,1
prism-ba01,Windows Phone SDK 8.0 Assemblies for Visual Studio 2015,1.50423E+12,1
prism-ba01,Windows Phone SDK 8.0 Assemblies,1.50423E+12,1
prism-ba01,Windows Phone Emulator 8.0 Configurator,1.50423E+12,1
prism-ba01,Windows Phone 8.1 Tools for Visual Studio Professionald 2013 - ENU,1.50423E+12,1
prism-ba01,Windows Phone 8.1 Tools for Visual Studio Professional 2015 - ENU,1.50423E+12,1
prism-ba01,Windows Phone 8.1 Tools for Visual Studio Professional 2015,1.50423E+12,1
prism-ba01,Windows Phone 8.1 Tools for Visual Studio Professional 2013,1.50423E+12,1
prism-ba01,Windows Phone 8.1 Tools for Visual Studio Express 2015 for Windows,1.50423E+12,1
prism-ba01,Windows Phone 8.1 Tools for Visual Studio 2015 - ENU,1.50423E+12,1
prism-ba01,Windows Phone 8.1 Tools for Visual Studio 2015,1.50423E+12,1
prism-ba01,Windows Phone 8.1 Tools for Visual Studio 2013 - ENU,1.50423E+12,1
prism-ba01,Windows Phone 8.1 Tools for Visual Studio 2013,1.50423E+12,1
prism-ba01,Windows Phone 8.1 SDK - x86,1.50423E+12,1
prism-ba01,Windows Phone 8.1 SDK - Images,1.50423E+12,1
prism-ba01,Windows Phone 8.1 SDK - Desktop,1.50423E+12,1
prism-ba01,Windows Phone 8.1 SDK - ARM,1.50423E+12,1
prism-ba01,Windows Phone 8.1 Emulators - ENU,1.50423E+12,1
prism-ba01,Windows Phone 8.0 Managed SDK Profiler (X86),1.50423E+12,1
prism-ba01,Windows Phone 8.0 Managed SDK Profiler (ARM),1.50423E+12,1
prism-ba01,Windows Phone 8.0 Emulation Images,1.50423E+12,1
prism-ba01,Windows Phone 8.0 Emulation Host,1.50423E+12,1
prism-ba01,Windows Mobile Extension SDK 10.0.10586.0 - x86,1.50423E+12,1
prism-ba01,Windows Mobile Extension SDK 10.0.10586.0 - ARM,1.50423E+12,1
prism-ba01,Windows Mobile Extension SDK 10.0.10240.0 - x86,1.50423E+12,1
prism-ba01,Windows Mobile Extension SDK 10.0.10240.0 - ARM,1.50423E+12,1
prism-ba01,Windows Mobile Connectivity Tools 10.0.10586.0 - Desktop x86,1.50423E+12,1
prism-ba01,Windows Mobile Connectivity Tools 10.0.10240.0 - Desktop x86,1.50423E+12,1
prism-ba01,Windows IoT Extension SDK Contracts,1.50423E+12,1
prism-ba01,Windows IoT Extension SDK,1.50423E+12,1
prism-ba01,Windows IP Over USB,1.50423E+12,1
prism-ba01,Windows Espc Resource Package,1.50423E+12,1
prism-ba01,Windows Espc Package,1.50423E+12,1
prism-ba01,Windows Desktop Extension SDK Contracts,1.50423E+12,1
prism-ba01,Windows Desktop Extension SDK,1.50423E+12,1
prism-ba01,Windows App Certification Kit x64,1.50423E+12,1
prism-ba01,Windows App Certification Kit SupportedApiList x86,1.50423E+12,1
prism-ba01,Windows 8 Development Essentials,1.50423E+12,1
prism-ba01,WinRT Intellisense Xbox Live Extension SDK - en-us,1.50423E+12,1
prism-ba01,WinRT Intellisense Xbox Live Extension SDK - Other Languages,1.50423E+12,1
prism-ba01,WinRT Intellisense UAP - en-us,1.50423E+12,1
prism-ba01,WinRT Intellisense UAP - Other Languages,1.50423E+12,1
prism-ba01,WinRT Intellisense PPI - en-us,1.50423E+12,1
prism-ba01,WinRT Intellisense PPI - Other Languages,1.50423E+12,1
prism-ba01,WinRT Intellisense IoT - en-us,1.50423E+12,1
prism-ba01,WinRT Intellisense IoT - Other Languages,1.50423E+12,1
prism-ba01,WinRT Intellisense Desktop - en-us,1.50423E+12,1
prism-ba01,WinRT Intellisense Desktop - Other Languages,1.50423E+12,1
prism-ba01,WinAppDeploy,1.50423E+12,1
prism-ba01,WCF RIA Services V1.0 SP2,1.50423E+12,1
prism-ba01,WCF Data Services Tools for Microsoft Visual Studio 2015,1.50423E+12,1
prism-ba01,WCF Data Services 5.6.4 Runtime,1.50423E+12,1
prism-ba01,Visual Studio Graphics Analyzer,1.50423E+12,1
prism-ba01,Visual Studio Extensions for Windows Library for JavaScript,1.50423E+12,1
prism-ba01,Visual Studio 2015 Update 3 (KB3022398),1.50423E+12,1
prism-ba01,Visual Studio 2012 Verification SDK - enu,1.50423E+12,1
prism-ba01,Visual Studio 2012 Verification SDK,1.50423E+12,1
prism-ba01,Visual F# 4.0 VS,1.50423E+12,1
prism-ba01,Visual F# 4.0 SDK,1.50423E+12,1
prism-ba01,Visual C++ for iOS Platform Mobile Development - ENU,1.50423E+12,1
prism-ba01,Visual C++ for iOS Platform Mobile Development,1.50423E+12,1
prism-ba01,Visual C++ for Mobile Development (iOS support),1.50423E+12,1
prism-ba01,Visual C++ for Mobile Development (Android support),1.50423E+12,1
prism-ba01,Visual C++ for Cross Platform Mobile Development - ENU,1.50423E+12,1
prism-ba01,Visual C++ for Cross Platform Mobile Development,1.50423E+12,1
prism-ba01,Visual C++ Professional Windows UAP Templates Resource Package,1.50423E+12,1
prism-ba01,Visual C++ Professional Windows 8.1 Templates Resource Package,1.50423E+12,1
prism-ba01,Visual C++ Professional Windows 8.1 Templates Package,1.50423E+12,1
prism-ba01,Visual C++ Professional Templates Package,1.50423E+12,1
prism-ba01,Visual C++ Professional Items Resource Package,1.50423E+12,1
prism-ba01,Visual C++ Professional Items Package,1.50423E+12,1
prism-ba01,Visual C++ MSBuild X86 Package,1.50423E+12,1
prism-ba01,Visual C++ MSBuild X64 Package,1.50423E+12,1
prism-ba01,Visual C++ MSBuild Base Resource Package,1.50423E+12,1
prism-ba01,Visual C++ MSBuild Base Package,1.50423E+12,1
prism-ba01,Visual C++ MSBuild ARM Package,1.50423E+12,1
